+-----+-----------------------+-----------+----------------------------+-----+
| d   | G                     | ell       | field                      | ind |
| 21  | A_{8}                 | ! 2       |                            | 1   |
| 21  | A_{9}                 | 0,7       | i15                        | 0   |
| 21  | A_{9}                 | 3,5       |                            | 1   |
| 21  | 3.{\rm PSL}_{3}(4)    | ! 2,3     | z3                         | 0   |
| 21  | {\rm PSU}_{3}(3)      | 0,7       |                            | 1   |
| 21  | {\rm PSU}_{3}(3)      | 0,7       | i1                         | 0   |
| 21  | {\rm PSU}_{3}(5)      | ! 2,5     |                            | 1   |
| 21  | 3.{\rm PSU}_{3}(5)    | ! 3,5     | z3                         | 0   |
| 21  | {\rm PSU}_{4}(3)      | ! 2,3     |                            | 1   |
| 21  | 3_1.{\rm PSU}_{4}(3)  | ! 2,3     | z3                         | 0   |
| 21  | {\rm PSU}_{6}(2)      | 3         |                            | 1   |
| 21  | 3.{\rm PSU}_{6}(2)    | ! 2,3     | z3                         | 0   |
| 21  | {\rm PSp}_{6}(2)      | ! 2       |                            | 1   |
| 21  | {\rm M}_{22}          | ! 2,11    |                            | 1   |
| 21  | 3.{\rm M}_{22}        | ! 2,3     | z3                         | 0   |
| 21  | {\rm M}_{23}          | 23        |                            | 1   |
| 21  | {\rm J}_2             | 5         |                            | 1   |
| 21  | {\rm J}_2             | ! 2,5     | b5                         | 1   |
| 21  | {\rm HS}              | 5         |                            | 1   |
| 21  | {\rm McL}             | 3,5       |                            | 1   |
| 22  | 2.{\rm PSL}_{3}(4)    | 3         | b5                         | 1   |
| 22  | {\rm PSU}_{6}(2)      | ! 2,3     |                            | 1   |
| 22  | {\rm M}_{23}          | ! 2,23    |                            | 1   |
| 22  | {\rm M}_{24}          | 3         |                            | 1   |
| 22  | {\rm J}_1             | 19        | b5                         | 1   |
| 22  | {\rm HS}              | ! 2,5     |                            | 1   |
| 22  | {\rm McL}             | ! 3,5     |                            | 1   |
| 22  | {\rm Co}_3            | 2         |                            | -1  |
| 22  | {\rm Co}_3            | 3         |                            | 1   |
| 22  | {\rm Co}_2            | 2         |                            | 1   |
| 23  | {\rm PSU}_{4}(2)      | 5         |                            | 1   |
| 23  | {\rm M}_{24}          | ! 2,3     |                            | 1   |
| 23  | {\rm Co}_3            | ! 2,3     |                            | 1   |
| 23  | {\rm Co}_2            | ! 2       |                            | 1   |
| 24  | 3.A_{7}               | 0,2       | z3, b7                     | 0   |
| 24  | 6.A_{7}               | 7         | z3                         | 0   |
| 24  | 6.A_{7}               | 0,5       | z3, b7                     | 0   |
| 24  | 2.A_{8}               | ! 2,7     | b7                         | 0   |
| 24  | 4_1.{\rm PSL}_{3}(4)  | 3         | i1, r7                     | 0   |
| 24  | 12_1.{\rm PSL}_{3}(4) | 7         | z12                        | 0   |
| 24  | 12_1.{\rm PSL}_{3}(4) | 0,5       | z12, b7                    | 0   |
